speed,deceleration,deltadistance,delta_time,detection
59.16,-1.3339,33.7444,0.52001071,FALSE
59.67,3.001,21.6585,0.410002232,FALSE
59.67,-2.2705,34.2573,0.530070305,FALSE
59.67,1.7972,31.9927,0.589939594,FALSE
59.67,-1.7956,35.1539,0.550006628,FALSE
60.18,1.405,30.4973,0.54001689,FALSE
60.18,-2.2543,32.201,0.479996204,FALSE
60.7,1.928,26.8587,0.459999323,FALSE
60.7,-0.855,26.0026,0.420006037,FALSE
60.7,-1.0615,30.6834,0.460028172,FALSE
60.7,3.6667,22.0315,0.429987192,FALSE
60.7,-1.8227,33.588,0.550004721,FALSE
60.7,-1.7047,37.0626,0.53000474,FALSE
60.7,6.2905,18.4883,0.42000699,FALSE
60.7,-6.0436,33.7832,0.470021486,FALSE
61.73,1.054,56.3167,0.900009632,FALSE
61.21,0.9036,29.6069,0.509986877,FALSE
61.21,-0.4183,33.7931,0.559940577,FALSE
60.7,-0.4452,32.5676,0.520068645,FALSE
60.7,0.9317,30.623,0.530001163,FALSE
59.67,-0.7354,30.0439,0.490010262,FALSE
59.67,0.1964,34.3238,0.570019245,FALSE
59.16,0.8809,25.3473,0.449994564,FALSE
59.16,-1.2622,25.8427,0.420021296,FALSE
58.13,0.2091,33.8111,0.559983492,FALSE
58.13,2.2189,25.8887,0.53000927,FALSE
56.07,-1.9612,33.3868,0.56002593,FALSE
56.07,0.2555,27.4655,0.469985723,FALSE
52.98,0.6774,29.108,0.530027628,FALSE
52.98,0.8102,25.9407,0.509984016,FALSE
50.41,0.533,21.8313,0.450004101,FALSE
50.41,1.8611,19.0817,0.480004787,FALSE
48.35,-2.576,25.5448,0.490007401,FALSE
48.35,0.4887,26.2837,0.530004501,FALSE
45.27,1.6222,20.4811,0.49002552,FALSE
45.27,-0.3027,24.7875,0.569986582,FALSE
43.21,0.3672,35.1092,0.87001276,FALSE
41.15,-0.3803,23.7692,0.560022831,FALSE
35.49,0.3199,75.0042,2.089999437,FALSE
33.43,0.3458,17.4214,0.510027409,TRUE
33.43,-0.281,15.9292,0.450006485,TRUE
30.86,0.542,31.7902,1.069992781,TRUE
29.32,-0.0771,17.4871,0.58002305,TRUE
29.32,0.6207,13.0687,0.479987621,TRUE
27.26,-0.0288,13.1345,0.48001194,TRUE
27.26,0.0863,11.0764,0.409997463,TRUE
27.26,-0.1785,11.6554,0.42000103,TRUE
25.72,0.5167,19.5425,0.830013514,TRUE
24.17,0.1155,10.8159,0.470000505,TRUE
24.17,-0.7824,12.511,0.470007658,TRUE
22.12,2.2257,7.4102,0.430001259,TRUE
22.12,-1.7078,10.1924,0.420007229,TRUE
22.12,1.2311,8.2027,0.430007935,TRUE
20.57,-0.4907,8.4003,0.400000572,TRUE
20.57,0.1438,11.8998,0.590013742,TRUE
19.03,0.1883,11.0765,0.579999208,TRUE
17.49,0.6965,8.7789,0.580004692,TRUE
17.49,-0.2197,7.2476,0.4500072,TRUE
16.46,-1.0197,10.8157,0.51003623,TRUE
14.91,0.6719,14.9265,1.039977074,TRUE
14.91,0.0646,7.429,0.5300107,TRUE
14.4,0.3151,6.3448,0.510008097,TRUE
14.4,-0.5125,8.0053,0.530000687,TRUE
13.37,0.3281,6.9843,0.520009756,TRUE
13.37,-0.1251,8.2027,0.580000639,TRUE
12.86,1.281,3.8474,0.460008621,TRUE
12.86,-0.8356,7.6079,0.580025673,TRUE
11.83,0.0346,5.7053,0.439984322,TRUE
11.83,0.3765,5.3737,0.480008364,TRUE
11.31,0.713,3.4684,0.420000553,TRUE
11.31,-0.6535,6.7895,0.57000494,TRUE
10.28,0.4782,4.4869,0.460006475,TRUE
10.28,0.0524,4.471,0.470004559,TRUE
9.77,-0.0903,11.0791,1.060032129,TRUE
9.25,0.2984,6.9842,0.889986753,TRUE
8.74,-0.0554,4.7343,0.580015182,TRUE
8.74,-0.2665,4.3077,0.459998608,TRUE
7.71,0.0945,14.3318,1.88002038,TRUE
7.45,-0.1563,4.7498,0.560003519,TRUE
7.45,0.545,3.0737,0.560008764,TRUE
6.94,-0.5851,3.8474,0.470025063,TRUE
6.94,0.266,3.271,0.470007896,TRUE
6.68,0.1643,2.6947,0.430000782,TRUE
6.68,-0.4952,4.9159,0.550018072,TRUE
6.43,0.3881,5.1446,1.009977818,TRUE
6.43,-0.1207,6.1291,0.980010748,TRUE
6.17,-0.0403,7.0025,1.050009489,TRUE
5.65,0.1192,2.8763,0.470006466,TRUE
5.65,0.4994,1.8579,0.520005465,TRUE
5.4,-0.9211,4.0448,0.500003815,TRUE
5.4,0.7254,2.2999,0.57004118,TRUE
5.14,-0.2572,2.6479,0.500002384,TRUE
5.14,0.5787,1.2352,0.459974051,TRUE
5.14,-0.7059,3.4691,0.540038824,TRUE
5.14,0.2872,2.7784,0.579970121,TRUE
4.88,0.067,3.8871,0.930013657,TRUE
4.62,0.4032,1.058,0.420004606,TRUE
4.62,-0.0854,3.3147,0.990034819,TRUE
4.37,-0.1232,4.442,0.980018616,TRUE
4.37,0.6533,0.6646,0.499995947,TRUE
4.37,-0.8596,2.2167,0.43998909,TRUE
4.37,0.7612,0.5128,0.54999876,TRUE
4.37,-0.3943,1.7349,0.560026169,TRUE
